CAPRI_code,NUTS_code
BL000000,BE
DK000000,DK
DE000000,DE
EL000000,EL
EL000000,GR
ES000000,ES
FR000000,FR
IR000000,IE
IT000000,IT
NL000000,NL
AT000000,AT
PT000000,PT
SE000000,SE
FI000000,FI
UK000000,UK
CY000000,CY
CZ000000,CZ
EE000000,EE
HU000000,HU
LT000000,LT
LV000000,LV
MT000000,MT
PL000000,PL
SI000000,SI
SK000000,SK
HR000000,HR
BG000000,BG
RO000000,RO
AL000000,AL
MK000000,MK
CS000000,Rs
MO000000,ME
BA000000,BA
KO000000,XK
NO000000,NO
TUR,TR
BL200000,BE2
BL300000,BE3
BL400000,LU
BL210000,BE21
BL220000,BE22
BL230000,BE23
BL240000,BE24
BL250000,BE25
BL310000,BE31
BL320000,BE32
BL330000,BE33
BL340000,BE34
BL350000,BE35
DE400000,DE4
DE800000,DE8
DEC00000,DEC
DED00000,DED
DEE00000,DEE
DEF00000,DEF
DEG00000,DEG
DE100000,DE1
DE200000,DE2
DE700000,DE7
DE900000,DE9
DEA00000,DEA
DEB00000,DEB
DE110000,DE11
DE120000,DE12
DE130000,DE13
DE140000,DE14
DE210000,DE21
DE220000,DE22
DE230000,DE23
DE240000,DE24
DE250000,DE25
DE260000,DE26
DE270000,DE27
DE710000,DE71
DE720000,DE72
DE730000,DE73
DE910000,DE91
DE920000,DE92
DE930000,DE93
DE940000,DE94
DEA10000,DEA1
DEA20000,DEA2
DEA30000,DEA3
DEA40000,DEA4
DEA50000,DEA5
DEB10000,DEB1
DEB20000,DEB2
DEB30000,DEB3
EL100000,EL5
EL100000,EL1
EL100000,GR1
EL200000,EL6
EL200000,EL2
EL200000,GR2
EL400000,EL4
EL400000,GR4
EL300000,EL3
EL300000,GR3
EL300000,EL30
EL300000,GR30
EL110000,EL51
EL110000,EL11
EL110000,GR11
EL120000,EL52
EL120000,EL12
EL120000,GR12
EL130000,EL53
EL130000,EL13
EL130000,GR13
EL140000,EL61
EL140000,EL14
EL140000,GR14
EL210000,EL54
EL210000,EL21
EL210000,GR21
EL220000,EL62
EL220000,EL22
EL220000,GR22
EL230000,EL63
EL230000,EL23
EL230000,GR23
EL240000,EL64
EL240000,EL24
EL240000,GR24
EL250000,EL65
EL250000,EL25
EL250000,GR25
EL410000,EL41
EL410000,GR41
EL420000,EL42
EL420000,GR42
EL430000,EL43
EL430000,GR43
ES100000,ES1
ES200000,ES2
ES400000,ES4
ES500000,ES5
ES600000,ES6
ES300000,ES3
ES300000,ES30
ES700000,ES7
ES700000,ES70
ES110000,ES11
ES120000,ES12
ES130000,ES13
ES210000,ES21
ES220000,ES22
ES230000,ES23
ES240000,ES24
ES410000,ES41
